        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V),               Re{V[3]} (V),               Im{V[3]} (V),               Re{V[4]} (V),               Im{V[4]} (V),               Re{V[5]} (V),               Im{V[5]} (V),               Re{V[6]} (V),               Im{V[6]} (V),               Re{V[7]} (V),               Im{V[7]} (V),               Re{V[8]} (V),               Im{V[8]} (V)
 1.10e+01,        -2.006124335351e-04,        +4.691950338476e-07,        +1.196041274693e-04,        -1.118345120576e-06,        +1.139960246654e-05,        +8.336401933844e-06,        +1.383084269338e-04,        +3.965979733639e-05,        -5.823865260710e+00,        -2.281664309215e-06,        -3.538021977966e+01,        +2.802893624113e-05,        +2.492574397299e-05,        -5.650381575726e-07,        -6.332088468150e-05,        +6.035021801121e-07
 1.20e+01,        -3.590235768493e+01,        +5.128402019084e-05,        +2.833852463225e+00,        -1.042223530700e-06,        +7.744887879197e-05,        -1.706391571439e-05,        +2.490269781759e-05,        -5.197562617536e-05,        -1.843951784936e-04,        -3.544276531766e-05,        -6.316665975930e-04,        -1.052105594597e-04,        +5.634581544170e-06,        -6.075981036981e-07,        -9.145859348372e-05,        -9.207004895403e-06
 1.30e+01,        -1.337061745235e-04,        +4.254019933465e-05,        +4.520072357382e-06,        -9.373279070732e-06,        +1.690895606933e-05,        -2.054419242612e-05,        -1.719586409825e-05,        -2.036099501885e-06,        +3.629441498007e+01,        +6.114809837506e-05,        -5.975519096243e+00,        +5.407645521195e-06,        -1.617460628460e-05,        -5.218167562915e-07,        -8.530860806652e-06,        +7.721361190230e-06
 1.40e+01,        -2.142429001013e-04,        -3.355432544680e-05,        -1.000432599212e-04,        -1.786518671448e-05,        +1.463444543671e-02,        -6.647994935857e-05,        +1.946346782668e-02,        -8.284421383310e-06,        +4.756930173921e-04,        -2.036714883819e-05,        +3.059957193282e-04,        -2.239971886595e-05,        +5.202265033679e-04,        -3.301509344920e-06,        +8.403112909719e-04,        +4.952304684943e-05
 1.50e+01,        +1.575217048486e-02,        +4.614094902284e-07,        +1.441330493415e-02,        +8.524121731527e-06,        +3.005573426060e-03,        -1.164033295690e-05,        +2.576493097435e-03,        -5.610929631709e-06,        +8.364256389322e-04,        +1.549278635042e-05,        +7.058787038360e-04,        +1.335109319429e-06,        +3.226644152776e-04,        +7.959966700748e-07,        +4.528997479360e-04,        -1.934611064309e-05
 1.60e+01,        +6.299960087168e-04,        +1.801326838704e-04,        +5.966747409198e-04,        -3.221237723119e-05,        -6.994328052387e-04,        +1.785151850451e-05,        -5.736339326341e-04,        +4.246301489129e-05,        +6.785879458718e-03,        +5.664429156374e-05,        +3.913872913516e-03,        +1.000640170118e-05,        -3.798132673866e-03,        -1.254329115229e-07,        -9.066514054416e-03,        +9.598443370307e-05
 1.70e+01,        +6.398846567263e-03,        -7.807902310651e-05,        +1.009104359138e-02,        +3.671217694686e-05,        -6.191416397733e-03,        +1.068435015790e-05,        -4.143181740625e-03,        -8.529605646642e-06,        +4.595610477158e-04,        -4.596071890090e-05,        +3.709456203701e-04,        +1.119800017554e-04,        -3.479649949114e-04,        +6.583157506756e-06,        -2.802268766693e-04,        -8.682698948435e-05
 1.80e+01,        -1.409599110031e-03,        +1.554928337487e-05,        -1.697056118386e-03,        +6.628924629982e-06,        +1.075542172218e-02,        +5.183509785656e-05,        +9.048660534658e-03,        +2.088554087056e-06,        -1.555871572483e-03,        +8.766623458307e-07,        -1.164087861729e-03,        +4.707317622058e-06,        +8.362240602034e-03,        +2.384488280208e-06,        +9.566883981625e-03,        -2.136417603814e-05
 1.90e+01,        -1.513757375282e-04,        +8.878934677580e-07,        -1.853723419604e-04,        +9.643389192654e-06,        +6.831839525188e-04,        +8.570517773418e-08,        +5.818076430229e-04,        +3.613031522864e-06,        -9.522817710004e-05,        -5.065460842640e-06,        -5.268267641616e-05,        -1.259990226788e-05,        -2.369953115736e-03,        +4.762266933171e-06,        -1.894992682192e-03,        -9.059178460615e-06
 2.00e+01,        +6.443194702030e-03,        -3.357992638689e-04,        +3.805453783966e-03,        +1.391298738520e-04,        +3.113063927179e-04,        -1.901853222006e-04,        +1.011206520800e-04,        +1.673459278308e-05,        -1.555752474542e-04,        -6.296136003698e-05,        -9.344674987483e-05,        +6.020271991908e-05,        -2.442760251955e-05,        +1.082385487630e-05,        -2.447717930235e-05,        -3.320472617957e-04
 2.10e+01,        -1.162898346087e-03,        +6.910786671342e-05,        -5.757543870662e-04,        -4.902596294920e-06,        +1.054575266811e-04,        +1.341847167755e-04,        +1.838430101655e-04,        +1.424569532886e-05,        +8.703724464263e-04,        +9.936745075279e-05,        +7.205826568951e-04,        +7.117628898867e-05,        +2.817523189379e-04,        +2.180525092500e-06,        +5.679765787759e-04,        +5.570473779708e-05
 2.20e+01,        -8.390542882395e-03,        +4.983768400667e-08,        -1.015755266206e-02,        -4.552120493806e-06,        -4.581733265384e-03,        +9.365031571744e-06,        -3.948423900520e-03,        -1.095615112387e-05,        -9.172667458423e-03,        +9.861360936384e-06,        -7.228572601942e-03,        -1.162941870348e-04,        -3.476828796613e-03,        -9.307241120963e-06,        -3.565353697730e-03,        +1.165071995669e-04
 2.30e+01,        +7.081938511899e-04,        -2.298988518078e-04,        +7.935346346819e-04,        -1.486291071381e-04,        -2.026900855592e-03,        -3.498256704023e-04,        -3.628919511930e-03,        -1.232008941970e-04,        +7.176771079259e-04,        -5.714433610994e-05,        +5.111375794706e-04,        -8.235798426262e-05,        +4.194378171962e-04,        -7.828859779707e-05,        +6.341649983061e-05,        +3.323518070196e-04
 2.40e+01,        -5.140943390838e-05,        -3.148989930150e-05,        -1.147460989015e-05,        +1.748823972750e-05,        +3.191428213034e-04,        -6.154327663153e-05,        +4.541573896647e-04,        +1.000080028399e-05,        +2.587021109990e-05,        -2.497816696437e-05,        +7.500133227084e-05,        -1.289110100840e-05,        +8.206691304136e-04,        +2.783193140334e-05,        +7.535653138558e-04,        +1.024704356210e-05
 2.50e+01,        -4.157498718987e-06,        -3.075415033288e-06,        +4.983745333895e-06,        -2.371046067539e-06,        -2.932208894237e-05,        +6.701416297512e-07,        -1.439368222450e-06,        -1.617613376049e-06,        +2.438899288850e-06,        +9.714295081278e-08,        -5.341258240724e-06,        -3.979284555678e-07,        -3.297610433132e-01,        -1.401135489981e-05,        +1.345595264471e-04,        -4.968760612268e-07
 2.60e+01,        +2.086061856517e-06,        -2.057187192696e-06,        -7.944507676803e-08,        +1.217026278051e-06,        +4.767670685833e-06,        -6.315614269331e-06,        -1.895216014324e-06,        +6.440710364846e-07,        -8.341012929999e-07,        -3.965047596765e-06,        -1.902419883328e-06,        +4.379618383835e-07,        +8.048449145704e-02,        +4.875437039620e-05,        -3.964406998677e-03,        -3.052222060736e-06
 2.70e+01,        +2.102260834756e-04,        +1.471685159471e-05,        -1.812361074980e-04,        +9.516300451383e-05,        +1.064052518915e-03,        -1.353027011140e-05,        +7.365855027015e-05,        +6.031140131730e-05,        +2.969351919013e-03,        -7.117672604187e-05,        +4.123704161721e-03,        +7.240456591931e-05,        +1.420032428395e-04,        +2.626624060118e-04,        +1.472675346899e-04,        -9.403621036228e-05
 2.80e+01,        -5.410983810611e-06,        -9.106693354274e-07,        -2.518698462544e-06,        +1.019885545999e-05,        -9.816682125021e-01,        +3.062735778112e-05,        +1.387754073180e-04,        -4.312629702666e-06,        +1.890570741290e-05,        -1.402291177493e-05,        -2.101139728410e-05,        +2.641538901873e-05,        -5.877598049409e-06,        +3.585447886962e-06,        -2.839269717769e-05,        +7.891891661814e-06
 2.90e+01,        +1.035945713238e-05,        +1.143939586645e-05,        +2.344470009906e-04,        +1.859004642474e-06,        -9.381289382996e-04,        -6.338522805411e-04,        +1.353450659488e-05,        +2.854804108434e-06,        +2.662563792951e-03,        -1.217405863981e-05,        +2.921840151207e-01,        -1.158912560181e-03,        +1.870190837395e-06,        -7.042998716642e-06,        -1.574906560918e-05,        -1.353249844401e-06
 3.00e+01,        -4.950356633135e-04,        -4.705388579023e-07,        +1.961395147803e-01,        -8.277661922881e-06,        +4.227979446978e-05,        +1.031977528608e-05,        -3.638014149757e-05,        -1.962124492552e-05,        -4.988778308293e-06,        +2.255291707955e-06,        +8.015208954237e-05,        -1.214280274183e-05,        +5.857936245058e-06,        +5.666960563605e-07,        +4.524274039008e-05,        +1.612392867107e-05
