Mode,Frequency_GHz,Frequency_MHz,Im_Frequency_GHz,Q_factor,Error_Backward,Error_Absolute,Dominant_Qubit,Mode_Purity,Dominant_JJ,Dominant_JJ_Participation
15,8.091680255463,8091.680255463,7.363373268573e-12,549454710519.6,3.474672571432e-19,490.4646394077,Q1,0.9636920013800733,JJ1,1.439105185371e-07
16,8.723732611927,8723.732611927,-8.605579500019e-10,5068649131.594,2.79293785525e-19,394.2349185898,Q4,0.6078362861872855,JJ8,4.171944597257e-08
17,8.791548571182,8791.548571182,-1.210540298291e-09,3631249857.437,8.43925407682e-19,1191.236187999,Q1,0.7161750022297603,JJ2,5.042520802045e-08
18,9.193955950172,9193.955950172001,1.169981205516e-10,39291041201.46,7.402044491940001e-19,1044.829695238,Q2,0.537501340893888,JJ3,5.195282059828e-08
19,9.277046159931,9277.046159931,-1.710763665073e-09,2711375729.252,6.029134005758e-19,851.0376089767,Q4,0.9139935077471281,JJ7,2.48177591058e-09
20,9.675939233058,9675.939233058,-5.204742007705e-09,929531110.162,3.465899246453e-18,4892.262479552,Q1,0.9950302526161126,JJ1,1.680687785266e-08
21,9.711981681561,9711.981681561,1.384507931201e-11,350737668694.1,1.807239463107e-18,2550.994471661,Q1,0.4096362679767153,JJ1,3.687388756586e-10
22,9.908285613387,9908.285613387,-8.197448600432e-09,604351798.7331,7.908977086188001e-19,1116.385362129,Q1,0.4673670252277981,JJ2,3.967070381189e-08
23,9.97584816551,9975.84816551,2.247972960909e-09,2218854127.471,1.545647965239e-18,2181.74707631,Q2,0.8827628973956914,JJ4,5.024426959821e-09
24,10.4941939082,10494.193908199999,3.024449236057e-09,1734893378.783,1.072131232816e-18,1513.358303876,Q4,0.795411519220301,JJ7,2.197175605428e-10
25,10.56194950597,10561.94950597,-5.380757550787e-08,98145562.27706,1.4223714530349999e-18,2007.737097675,Q4,0.9999999892899109,JJ7,0.0003103336053888
26,10.61830919196,10618.30919196,6.372722586099e-08,83310618.40916,5.0035087332410006e-17,70626.62907818,Q4,0.9999999865797914,JJ7,1.986562855365e-05
27,10.68604520495,10686.04520495,-5.274129458696e-10,10130624673.36,4.437066252497e-16,626310.5535053,Q3,0.9883137453991891,JJ6,6.032152966321e-09
28,10.76518692908,10765.18692908,-1.442077274693e-09,3732527763.245,9.266360931242e-19,1307.985798215,Q2,0.9999999982950607,JJ3,0.003702456442471
29,10.76986161536,10769.86161536,2.356571043085e-07,22850704.30395,2.2576419151909998e-18,3186.756467227,Q3,0.9999864707625457,JJ6,0.0003318359543591
30,10.77239100396,10772.39100396,-6.463171199308e-08,83336729.53856,1.085000857463e-18,1531.524320223,Q1,0.9999995525502433,JJ2,0.000150258032084
31,10.79959315776,10799.59315776,-7.096065620328e-08,76095640.42662,1.1537502417149999e-18,1628.566966114,Q4,0.9999950099866094,JJ8,0.001233890285873
32,10.80061726084,10800.61726084,-2.590643698851e-07,20845431.70801,9.051657077342e-19,1277.679446709,Q2,0.9999929063680121,JJ4,0.00172418961335
33,10.8011342194,10801.134219399999,-6.070144057556e-08,88969340.0765,8.739567820385e-19,1233.626736167,Q2,0.9999326777557047,JJ3,2.610672620339e-05
34,10.80613061487,10806.13061487,1.345285328241e-08,401629691.0411,5.580635595658e-19,787.730173518,Q1,0.9999973768573177,JJ2,9.421659726026e-05
35,10.80876323758,10808.763237579999,6.37652493112e-08,84754339.97625,3.4222471340800003e-19,483.0645689982,Q1,0.9999997125664027,JJ1,0.0006292384657075
36,10.82350221656,10823.50221656,-1.718086186211e-07,31498717.30369,1.801233615275e-18,2542.516966025,Q3,0.9999997938382079,JJ6,0.0001219704732444
37,10.83205792037,10832.05792037,-2.063200289599e-07,26250621.36473,3.777489916994e-19,533.2085811375,Q4,0.9999999233622983,JJ8,0.0002441543981546
