Mode,Frequency_GHz,Im_Frequency_GHz,Q_factor,Error_Backward,Error_Absolute,JJ1,JJ2,JJ3,JJ4,JJ5,JJ6,JJ7,JJ8,JJ1_abs,JJ2_abs,JJ3_abs,JJ4_abs,JJ5_abs,JJ6_abs,JJ7_abs,JJ8_abs,Total_abs_JJ_EPR,JJ1_fraction,JJ2_fraction,JJ3_fraction,JJ4_fraction,JJ5_fraction,JJ6_fraction,JJ7_fraction,JJ8_fraction,Dominant_JJ,Dominant_JJ_Fraction,Q1_Pair_EPR,Q2_Pair_EPR,Q3_Pair_EPR,Q4_Pair_EPR,Total_Qubit_EPR,Q1_Participation,Q2_Participation,Q3_Participation,Q4_Participation,Dominant_Qubit,Dominant_Qubit_Fraction,Q1_JJ_Balance,Q2_JJ_Balance,Q3_JJ_Balance,Q4_JJ_Balance,Mode_Purity
11,6.987460169349,-4.224623515187e-09,826992055.5322,5.311717860507001e-19,749.7713038428,-3.3625302061200005e-11,-1.1287045347270001e-11,1.6511203064579997e-13,1.5614146041670003e-11,-0.02637677115508,0.9734643204232,-4.850078329696e-13,3.166181562189e-12,3.3625302061200005e-11,1.1287045347270001e-11,1.6511203064579997e-13,1.5614146041670003e-11,0.02637677115508,0.9734643204232,4.850078329696e-13,3.166181562189e-12,0.9998410916426228,3.363064625195343e-11,1.1288839238170034e-11,1.6513827249742264e-13,1.5616627654318322e-11,0.02638096331062572,0.9736190366250213,4.850849170169516e-13,3.1666847748649053e-12,JJ6,0.9736190366250213,4.491234740847001e-11,1.5779258072315804e-11,0.9998410915782799,3.6511893951586e-12,0.9998410916426227,4.491948549012348e-11,1.578176592681575e-11,0.999999999935647,3.651769691881857e-12,Q3,0.999999999935647,0.33567119565876086,0.010574515583827632,0.02709577598448916,0.153183834673802,0.999999999935647
12,7.018249314955,1.68956838248e-08,207693556.1688,2.607704628583e-19,368.0884698267,0.9936397530882,-0.006190667205794,-4.910809042536e-12,-2.606144380085e-12,-2.7155146663850003e-11,-3.159013475926e-10,-2.462949308644e-14,-6.487664873415e-12,0.9936397530882,0.006190667205794,4.910809042536e-12,2.606144380085e-12,2.7155146663850003e-11,3.159013475926e-10,2.462949308644e-14,6.487664873415e-12,0.9998304206510797,0.9938082824496893,0.0061917171931643155,4.911641955580957e-12,2.6065864033101777e-12,2.7159752396978318e-11,3.1595492702341276e-10,2.4633670448236128e-14,6.488765233998678e-12,JJ1,0.9938082824496893,0.9998304202939939,7.516953422621001e-12,3.4305649425645e-10,6.5122943665014406e-12,0.9998304206510797,0.9999999996428536,7.518228358891135e-12,3.4311467942039106e-10,6.513398904446914e-12,Q1,0.9999999996428536,0.006230293410215935,0.5306955244057211,0.08596084464593817,0.0037963571742686887,0.9999999996428536
13,7.168394141588,2.496882387806e-09,1435468922.484,9.1639249677e-19,1293.526529854,1.432226163249e-11,-8.026900064054e-14,-5.043360861224999e-13,-2.3034484565409997e-13,0.9734025335503,0.02638542777248,-1.9310189959139998e-13,9.890298169267999e-14,1.432226163249e-11,8.026900064054e-14,5.043360861224999e-13,2.3034484565409997e-13,0.9734025335503,0.02638542777248,1.9310189959139998e-13,9.890298169267999e-14,0.9997879613382092,1.4325299149751466e-11,8.028602438171039e-14,5.044430475512523e-13,2.3039369802551433e-13,0.9736089762947411,0.02639102368982648,1.931428533435574e-13,9.892395739622533e-14,JJ5,0.9736089762947411,1.440253063313054e-11,7.346809317765999e-13,0.99978796132278,2.9200488128407996e-13,0.9997879613382092,1.4405585174133176e-11,7.348367455767667e-13,0.9999999999845676,2.9206681073978274e-13,Q3,0.9999999999845676,0.0056044919929719795,0.45672885996531826,0.027106389045695397,0.5121802628661699,0.9999999999845676
14,7.761073653743,-1.497059903892e-09,2592105243.606,6.13286019431e-19,865.6789961124,-2.9692769483080003e-11,-6.503978463537e-12,-1.350043579704e-07,-2.3879714098e-07,-1.42876385977e-10,-5.933906674199001e-11,-1.706002438795e-10,4.466158699244e-10,2.9692769483080003e-11,6.503978463537e-12,1.350043579704e-07,2.3879714098e-07,1.42876385977e-10,5.933906674199001e-11,1.706002438795e-10,4.466158699244e-10,3.746571272648696e-07,7.925318196893194e-05,1.7359815122211496e-05,0.3603410909488894,0.6373751454384551,0.0003813523768253082,0.00015838232459418648,0.0004553503229070871,0.00119206559123766,JJ4,0.6373751454384551,3.6196747946617006e-11,3.7380149895040004e-07,2.0221545271899003e-10,6.172161138039e-10,3.7465712726486953e-07,9.661299709114346e-05,0.9977162363873446,0.0005397347014194948,0.0016474159141447473,Q2,0.9977162363873446,0.21904250013604148,0.5653516512649832,0.4153175231597915,0.3819842853062477,0.9977162363873446
15,8.091680255463,7.363373268573e-12,549454710519.6,3.474672571432e-19,490.4646394077,1.439105185371e-07,1.204609234942e-07,-5.237453752189e-09,-3.848718936761e-09,4.060277490816e-10,2.884981782055e-10,6.037804743853e-11,-1.193649905815e-10,1.439105185371e-07,1.204609234942e-07,5.237453752189e-09,3.848718936761e-09,4.060277490816e-10,2.884981782055e-10,6.037804743853e-11,1.193649905815e-10,2.743318836855571e-07,0.5245854641600907,0.4391065372199825,0.01909166984830768,0.014029426273952367,0.001480060369311627,0.001051639256544385,0.00022009125088695897,0.0004351116209237922,JJ1,0.5245854641600907,2.643714420313e-07,9.08617268895e-09,6.945259272871e-10,1.7974303802003e-10,2.743318836855571e-07,0.9636920013800733,0.033121096122260045,0.002531699625856012,0.0006552028718107512,Q1,0.9636920013800733,0.8370543356992024,0.7348454265877619,0.7105380823307229,0.5058271034445824,0.9636920013800733
16,8.723732611927,-8.605579500019e-10,5068649131.594,2.79293785525e-19,394.2349185898,-1.276242905261e-10,2.515665013352e-10,-2.463209885895e-10,1.647239341745e-10,2.271763561185e-08,-8.047656478081e-09,-7.190216379723e-09,4.171944597257e-08,1.276242905261e-10,2.515665013352e-10,2.463209885895e-10,1.647239341745e-10,2.271763561185e-08,8.047656478081e-09,7.190216379723e-09,4.171944597257e-08,8.04651901568493e-08,0.0015860807670661605,0.0031264016259058866,0.0030612117874741994,0.002047145279261836,0.28232873827262367,0.10001413608038273,0.08935809839891319,0.5184781877883723,JJ8,0.5184781877883723,3.791907918613e-10,4.11044922764e-10,3.0765292089930995e-08,4.8909662352293e-08,8.04651901568493e-08,0.004712482392972047,0.005108357066736035,0.38234287435300635,0.6078362861872855,Q4,0.6078362861872855,0.5073183029088874,0.6687368994325388,0.3542470975229117,0.172346880743586,0.6078362861872855
17,8.791548571182,-1.210540298291e-09,3631249857.437,8.43925407682e-19,1191.236187999,-1.942537992355e-08,-5.042520802045e-08,1.892746304735e-08,-8.483880704296e-09,-9.243141148125e-11,6.045759288566e-11,6.254694958882001e-11,-5.5480783428070004e-11,1.942537992355e-08,5.042520802045e-08,1.892746304735e-08,8.483880704296e-09,9.243141148125e-11,6.045759288566e-11,6.254694958882001e-11,5.5480783428070004e-11,9.75328484330298e-08,0.19916756493468243,0.517007437295078,0.19406244512941093,0.08698485526259796,0.0009476951915817094,0.0006198690375291639,0.000641291119799166,0.00056884202932067,JJ2,0.517007437295078,6.9850587944e-08,2.7411343751646e-08,1.5288900436691002e-10,1.1802773301689e-10,9.753284843302981e-08,0.7161750022297603,0.28104730039200887,0.0015675642291108733,0.0012101331491198358,Q1,0.7161750022297603,0.3852315277642884,0.4482312649652122,0.6540805978920273,0.8870262065983622,0.7161750022297603
18,9.193955950172,1.169981205516e-10,39291041201.46,7.402044491940001e-19,1044.829695238,9.149540871857e-10,1.281949460023e-09,5.195282059828e-08,-3.678094745845e-08,-1.092263436152e-09,-6.07565730398e-10,3.140320644689e-08,-4.105196105121e-08,9.149540871857e-10,1.281949460023e-09,5.195282059828e-08,3.678094745845e-08,1.092263436152e-09,6.07565730398e-10,3.140320644689e-08,4.105196105121e-08,1.650856682685887e-07,0.005542298715459062,0.007765358879835118,0.3147021854965299,0.2227991553973581,0.006616343184769528,0.0036803057271422948,0.19022369886038845,0.24867065373851754,JJ3,0.3147021854965299,2.1969035472087e-09,8.873376805673e-08,1.69982916655e-09,7.24551674981e-08,1.650856682685887e-07,0.01330765759529418,0.537501340893888,0.010296648911911822,0.43889435259890597,Q2,0.537501340893888,0.7137208725602057,0.7079682495557846,0.5562446844677229,0.7649623950416469,0.537501340893888
19,9.277046159931,-1.710763665073e-09,2711375729.252,6.029134005758e-19,851.0376089767,-1.4625495862080002e-11,1.266074264093e-11,-2.036591606929e-10,1.478088262723e-10,-4.666413994738e-12,-1.417691268926e-12,2.48177591058e-09,-1.607912281644e-09,1.4625495862080002e-11,1.266074264093e-11,2.036591606929e-10,1.478088262723e-10,4.666413994738e-12,1.417691268926e-12,2.48177591058e-09,1.607912281644e-09,4.474526522955874e-09,0.003268613067113611,0.002829515609299888,0.04551524270736978,0.03303340040873362,0.0010428844193453041,0.0003168360410096469,0.5546454798843248,0.35934802786280334,JJ7,0.5546454798843248,2.728623850301e-11,3.5146798696520003e-10,6.084105263664e-12,4.089688192224e-09,4.474526522955874e-09,0.006098128676413499,0.0785486431161034,0.001359720460354951,0.9139935077471281,Q4,0.9139935077471281,0.8656624541364043,0.72576566538631,0.3038074355435747,0.6478877785820015,0.9139935077471281
20,9.675939233058,-5.204742007705e-09,929531110.162,3.465899246453e-18,4892.262479552,-1.680687785266e-08,5.831651614031e-09,-5.3367031658670006e-11,4.213385930387e-12,-1.1062169816950001e-11,6.374966881887e-12,4.0567637318239997e-13,-3.764646977903e-11,1.680687785266e-08,5.831651614031e-09,5.3367031658670006e-11,4.213385930387e-12,1.1062169816950001e-11,6.374966881887e-12,4.0567637318239997e-13,3.764646977903e-11,2.2751599167131104e-08,0.7387119353324686,0.25631831728364396,0.0023456387072680394,0.00018519075953456562,0.0004862150451793891,0.0002801986284593489,1.7830675118805475e-05,0.001654673568327333,JJ1,0.7387119353324686,2.2638529466691e-08,5.7580417589057006e-11,1.7437136698837002e-11,3.80521461522124e-11,2.2751599167131107e-08,0.9950302526161126,0.002530829466802605,0.000766413673638738,0.001672504243446138,Q1,0.9950302526161126,0.3469800676339201,0.07895110144658933,0.5762853931349854,0.010775947268457335,0.9950302526161126
21,9.711981681561,1.384507931201e-11,350737668694.1,1.807239463107e-18,2550.994471661,3.687388756586e-10,1.940944810379e-10,1.620270539047e-11,1.665211272898e-11,3.516520216913e-10,2.039909735069e-10,3.512273132079e-11,1.87529314254e-10,3.687388756586e-10,1.940944810379e-10,1.620270539047e-11,1.665211272898e-11,3.516520216913e-10,2.039909735069e-10,3.512273132079e-11,1.87529314254e-10,1.37398321558894e-09,0.26837218349901376,0.1412640844777015,0.011792506055850851,0.012119589628205385,0.2559361844464519,0.14846685985131333,0.025562707697077,0.13648588434438627,JJ1,0.26837218349901376,5.628333566964999e-10,3.285481811945e-11,5.556429951982e-10,2.2265204557479e-10,1.3739832155889398e-09,0.4096362679767153,0.02391209568405624,0.40440304429776525,0.1620485920414633,Q1,0.4096362679767153,0.5263737941686518,0.9730119927828804,0.5800932766596599,0.18729195198366613,0.4096362679767153
22,9.908285613387,-8.197448600432e-09,604351798.7331,7.908977086188001e-19,1116.385362129,2.791725935413e-08,-3.967070381189e-08,-8.162365802182e-09,-6.068799312099e-09,3.271035720278e-08,-2.036871736345e-08,-4.705242523845e-09,5.010871681789e-09,2.791725935413e-08,3.967070381189e-08,8.162365802182e-09,6.068799312099e-09,3.271035720278e-08,2.036871736345e-08,4.705242523845e-09,5.010871681789e-09,1.44614317052165e-07,0.19304630359703415,0.27432072163076393,0.05644230784727688,0.04196541141849651,0.22619030998833112,0.14084855343957842,0.032536491681855635,0.03464990039666327,JJ2,0.27432072163076393,6.758796316602e-08,1.4231165114281e-08,5.307907456623e-08,9.716114205633999e-09,1.44614317052165e-07,0.4673670252277981,0.0984077192657734,0.36703886342790953,0.0671863920785189,Q1,0.4673670252277981,0.7037248314652464,0.7435098425111825,0.6226993253903964,0.9390067881692626,0.4673670252277981
23,9.97584816551,2.247972960909e-09,2218854127.471,1.545647965239e-18,2181.74707631,-2.215272364822e-10,-2.44131870482e-10,-1.61242820173e-09,-5.024426959821e-09,-2.00144238339e-10,-1.026434771981e-10,-6.999027986268001e-11,4.298379994193e-11,2.215272364822e-10,2.44131870482e-10,1.61242820173e-09,5.024426959821e-09,2.00144238339e-10,1.026434771981e-10,6.999027986268001e-11,4.298379994193e-11,7.518276063856909e-09,0.029465163902022976,0.03247178853349517,0.214467809912106,0.6682950874835856,0.02662102809727435,0.013652528362392087,0.009309352206305481,0.0057172415028185495,JJ4,0.6682950874835856,4.656591069642e-10,6.636855161551e-09,3.027877155371e-10,1.1297407980461001e-10,7.51827606385691e-09,0.06193695243551813,0.8827628973956914,0.04027355645966643,0.015026593709124028,Q2,0.8827628973956914,0.9074080989296042,0.32091783095349136,0.5128475246149464,0.6141395637546191,0.8827628973956914
24,10.4941939082,3.024449236057e-09,1734893378.783,1.072131232816e-18,1513.358303876,-3.899348127482e-12,-8.858187321528e-14,-2.9103363179170004e-11,6.683833340215001e-11,-7.585195574641e-14,-3.421786657674e-12,2.197175605428e-10,1.823932417095e-10,3.899348127482e-12,8.858187321528e-14,2.9103363179170004e-11,6.683833340215001e-11,7.585195574641e-14,3.421786657674e-12,2.197175605428e-10,1.823932417095e-10,5.055380674477377e-10,0.007713263112248441,0.00017522295336233517,0.057569083424521134,0.1322122659122198,0.0001500420257753419,0.006768603351572021,0.43462119806737265,0.3607903211529283,JJ7,0.43462119806737265,3.98793000069728e-12,9.594169658132001e-11,3.4976386134204097e-12,4.021108022523e-10,5.055380674477377e-10,0.007888486065610776,0.18978134933674093,0.006918645377347363,0.795411519220301,Q4,0.795411519220301,0.022717097914640837,0.4354292170042921,0.022167353881136255,0.8301259182875854,0.795411519220301
25,10.56194950597,-5.380757550787e-08,98145562.27706,1.4223714530349999e-18,2007.737097675,-5.14397908223e-13,-3.9431608282779995e-13,1.742615004436e-12,-1.307866796896e-15,1.2758500574629998e-13,-5.434793032070999e-13,-0.0003103336053888,-5.221029644461e-11,5.14397908223e-13,3.9431608282779995e-13,1.742615004436e-12,1.307866796896e-15,1.2758500574629998e-13,5.434793032070999e-13,0.0003103336053888,5.221029644461e-11,0.00031033366092279765,1.657564012532201e-09,1.270619763435507e-09,5.615294838639866e-09,4.214389096583889e-12,4.11122033513598e-10,1.751274101530038e-09,0.9999998210506799,1.6823923092763844e-07,JJ7,0.9999998210506799,9.087139910508e-13,1.743922871232896e-12,6.710643089534e-13,0.00031033365759909647,0.00031033366092279765,2.928183775967708e-09,5.61950922773645e-09,2.162396135043636e-09,0.9999999892899109,Q4,0.9999999892899109,0.7665584881361093,0.0007505196463743827,0.2347559603344859,1.6823926103393984e-07,0.9999999892899109
26,10.61830919196,6.372722586099e-08,83310618.40916,5.0035087332410006e-17,70626.62907818,-6.209364451670999e-14,5.49692576232e-15,-1.1175256932879999e-13,6.89766782049e-15,-2.0945515739209998e-14,-6.006149106613e-14,1.986562855365e-05,-4.820583526576e-08,6.209364451670999e-14,5.49692576232e-15,1.1175256932879999e-13,6.89766782049e-15,2.0945515739209998e-14,6.006149106613e-14,1.986562855365e-05,4.820583526576e-08,1.9913834656163575e-05,3.1181159022775785e-09,2.7603552290310064e-10,5.611805624498906e-09,3.4637566995943133e-10,1.0518072536434918e-09,3.0160685826293245e-09,0.9975792657041744,0.0024207208756169773,JJ7,0.9975792657041744,6.759057027902999e-14,1.1865023714929e-13,8.100700680533999e-14,1.991383438891576e-05,1.9913834656163575e-05,3.3941514251806785e-09,5.958181294458338e-09,4.067875836272816e-09,0.9999999865797914,Q4,0.9999999865797914,0.08852638309611098,0.061722677714868314,0.348734528021427,0.0024265950173976716,0.9999999865797914
27,10.68604520495,-5.274129458696e-10,10130624673.36,4.437066252497e-16,626310.5535053,-1.83850563864e-11,2.2795556120180003e-11,4.8815743987970007e-11,1.375936815082e-12,2.645391700978e-09,-6.032152966321e-09,8.751286434854e-12,-2.4835091117e-12,1.83850563864e-11,2.2795556120180003e-11,4.8815743987970007e-11,1.375936815082e-12,2.645391700978e-09,6.032152966321e-09,8.751286434854e-12,2.4835091117e-12,8.780151756155186e-09,0.002093933783492005,0.002596259922751283,0.005559783628312404,0.00015670991268657984,0.30129225262234105,0.6870214927768481,0.0009967124348071832,0.0002828549187613956,JJ6,0.6870214927768481,4.1180612506580004e-11,5.019168080305201e-11,8.677544667299e-09,1.1234795546554e-11,8.780151756155186e-09,0.004690193706243287,0.005716493540998984,0.9883137453991891,0.0012795673535685786,Q3,0.9883137453991891,0.8065193184791152,0.028186332987592717,0.43854851091274955,0.28378788995053994,0.9883137453991891
28,10.76518692908,-1.442077274693e-09,3732527763.245,9.266360931242e-19,1307.985798215,-8.207709092584999e-13,1.174801303527e-12,0.003702456442471,-6.946830387594e-11,-3.652281956661e-13,1.416160876805e-12,-7.555731060462e-15,2.52794639607e-12,8.207709092584999e-13,1.174801303527e-12,0.003702456442471,6.946830387594e-11,3.652281956661e-13,1.416160876805e-12,7.555731060462e-15,2.52794639607e-12,0.0037024565182517677,2.2168279498014277e-10,3.1730320065493154e-10,0.9999999795323005,1.876276021973154e-08,9.864483049717328e-11,3.8249223720085316e-10,2.0407345834353453e-12,6.827754447913544e-10,JJ3,0.9999999795323005,1.9955722127855e-12,0.003702456511939304,1.7813890724710999e-12,2.535502127130462e-12,0.0037024565182517677,5.389859956350744e-10,0.9999999982950607,4.811370676980264e-10,6.848161793747898e-10,Q2,0.9999999982950607,0.6986465769099621,1.8762760603762084e-08,0.2579002157509754,0.002988881042813369,0.9999999982950607
