m_eig,Re{f} (GHz),Im{f} (GHz),Q,Error (Bkwd.),Error (Abs.),mode,frequency_GHz,imag_frequency_GHz,Q_numeric,m_epr,p[1],p[2],p[3],p[4],p[5],p[6],p[7],p[8],Q1_participation,Q2_participation,Q3_participation,Q4_participation,total_JJ_participation,dominant_qubit,dominant_qubit_participation,mode_class
11.0,6.987460169349,-4.224623515187e-09,826992055.5322,5.311717860507001e-19,749.7713038428,11.0,6.987460169349,-4.224623515187e-09,826992055.5322,11.0,-3.3625302061200005e-11,-1.1287045347270001e-11,1.6511203064579997e-13,1.5614146041670003e-11,-0.02637677115508,0.9734643204232,-4.850078329696e-13,3.166181562189e-12,4.491234740847001e-11,1.5779258072315804e-11,0.9998410915782799,3.6511893951586e-12,0.9998410916426227,Q3,0.9998410915782799,qubit-like
12.0,7.018249314955,1.68956838248e-08,207693556.1688,2.607704628583e-19,368.0884698267,12.0,7.018249314955,1.68956838248e-08,207693556.1688,12.0,0.9936397530882,-0.006190667205794,-4.910809042536e-12,-2.606144380085e-12,-2.7155146663850003e-11,-3.159013475926e-10,-2.462949308644e-14,-6.487664873415e-12,0.9998304202939939,7.516953422621001e-12,3.4305649425645e-10,6.5122943665014406e-12,0.9998304206510797,Q1,0.9998304202939939,qubit-like
13.0,7.168394141588,2.496882387806e-09,1435468922.484,9.1639249677e-19,1293.526529854,13.0,7.168394141588,2.496882387806e-09,1435468922.484,13.0,1.432226163249e-11,-8.026900064054e-14,-5.043360861224999e-13,-2.3034484565409997e-13,0.9734025335503,0.02638542777248,-1.9310189959139998e-13,9.890298169267999e-14,1.440253063313054e-11,7.346809317765999e-13,0.99978796132278,2.9200488128407996e-13,0.9997879613382092,Q3,0.99978796132278,qubit-like
14.0,7.761073653743,-1.497059903892e-09,2592105243.606,6.13286019431e-19,865.6789961124,14.0,7.761073653743,-1.497059903892e-09,2592105243.606,14.0,-2.9692769483080003e-11,-6.503978463537e-12,-1.350043579704e-07,-2.3879714098e-07,-1.42876385977e-10,-5.933906674199001e-11,-1.706002438795e-10,4.466158699244e-10,3.6196747946617006e-11,3.7380149895040004e-07,2.0221545271899003e-10,6.172161138039e-10,3.7465712726486953e-07,Q2,3.7380149895040004e-07,electromagnetic
15.0,8.091680255463,7.363373268573e-12,549454710519.6,3.474672571432e-19,490.4646394077,15.0,8.091680255463,7.363373268573e-12,549454710519.6,15.0,1.439105185371e-07,1.204609234942e-07,-5.237453752189e-09,-3.848718936761e-09,4.060277490816e-10,2.884981782055e-10,6.037804743853e-11,-1.193649905815e-10,2.643714420313e-07,9.08617268895e-09,6.945259272871e-10,1.7974303802003e-10,2.743318836855571e-07,Q1,2.643714420313e-07,electromagnetic
16.0,8.723732611927,-8.605579500019e-10,5068649131.594,2.79293785525e-19,394.2349185898,16.0,8.723732611927,-8.605579500019e-10,5068649131.594,16.0,-1.276242905261e-10,2.515665013352e-10,-2.463209885895e-10,1.647239341745e-10,2.271763561185e-08,-8.047656478081e-09,-7.190216379723e-09,4.171944597257e-08,3.791907918613e-10,4.11044922764e-10,3.0765292089930995e-08,4.8909662352293e-08,8.04651901568493e-08,Q4,4.8909662352293e-08,electromagnetic
17.0,8.791548571182,-1.210540298291e-09,3631249857.437,8.43925407682e-19,1191.236187999,17.0,8.791548571182,-1.210540298291e-09,3631249857.437,17.0,-1.942537992355e-08,-5.042520802045e-08,1.892746304735e-08,-8.483880704296e-09,-9.243141148125e-11,6.045759288566e-11,6.254694958882001e-11,-5.5480783428070004e-11,6.9850587944e-08,2.7411343751646e-08,1.5288900436691002e-10,1.1802773301689e-10,9.753284843302981e-08,Q1,6.9850587944e-08,electromagnetic
18.0,9.193955950172,1.169981205516e-10,39291041201.46,7.402044491940001e-19,1044.829695238,18.0,9.193955950172,1.169981205516e-10,39291041201.46,18.0,9.149540871857e-10,1.281949460023e-09,5.195282059828e-08,-3.678094745845e-08,-1.092263436152e-09,-6.07565730398e-10,3.140320644689e-08,-4.105196105121e-08,2.1969035472087e-09,8.873376805673e-08,1.69982916655e-09,7.24551674981e-08,1.650856682685887e-07,Q2,8.873376805673e-08,electromagnetic
19.0,9.277046159931,-1.710763665073e-09,2711375729.252,6.029134005758e-19,851.0376089767,19.0,9.277046159931,-1.710763665073e-09,2711375729.252,19.0,-1.4625495862080002e-11,1.266074264093e-11,-2.036591606929e-10,1.478088262723e-10,-4.666413994738e-12,-1.417691268926e-12,2.48177591058e-09,-1.607912281644e-09,2.728623850301e-11,3.5146798696520003e-10,6.084105263664e-12,4.089688192224e-09,4.474526522955874e-09,Q4,4.089688192224e-09,electromagnetic
20.0,9.675939233058,-5.204742007705e-09,929531110.162,3.465899246453e-18,4892.262479552,20.0,9.675939233058,-5.204742007705e-09,929531110.162,20.0,-1.680687785266e-08,5.831651614031e-09,-5.3367031658670006e-11,4.213385930387e-12,-1.1062169816950001e-11,6.374966881887e-12,4.0567637318239997e-13,-3.764646977903e-11,2.2638529466691e-08,5.7580417589057006e-11,1.7437136698837002e-11,3.80521461522124e-11,2.2751599167131107e-08,Q1,2.2638529466691e-08,electromagnetic
21.0,9.711981681561,1.384507931201e-11,350737668694.1,1.807239463107e-18,2550.994471661,21.0,9.711981681561,1.384507931201e-11,350737668694.1,21.0,3.687388756586e-10,1.940944810379e-10,1.620270539047e-11,1.665211272898e-11,3.516520216913e-10,2.039909735069e-10,3.512273132079e-11,1.87529314254e-10,5.628333566964999e-10,3.285481811945e-11,5.556429951982e-10,2.2265204557479e-10,1.3739832155889398e-09,Q1,5.628333566964999e-10,electromagnetic
22.0,9.908285613387,-8.197448600432e-09,604351798.7331,7.908977086188001e-19,1116.385362129,22.0,9.908285613387,-8.197448600432e-09,604351798.7331,22.0,2.791725935413e-08,-3.967070381189e-08,-8.162365802182e-09,-6.068799312099e-09,3.271035720278e-08,-2.036871736345e-08,-4.705242523845e-09,5.010871681789e-09,6.758796316602e-08,1.4231165114281e-08,5.307907456623e-08,9.716114205633999e-09,1.44614317052165e-07,Q1,6.758796316602e-08,electromagnetic
23.0,9.97584816551,2.247972960909e-09,2218854127.471,1.545647965239e-18,2181.74707631,23.0,9.97584816551,2.247972960909e-09,2218854127.471,23.0,-2.215272364822e-10,-2.44131870482e-10,-1.61242820173e-09,-5.024426959821e-09,-2.00144238339e-10,-1.026434771981e-10,-6.999027986268001e-11,4.298379994193e-11,4.656591069642e-10,6.636855161551e-09,3.027877155371e-10,1.1297407980461001e-10,7.51827606385691e-09,Q2,6.636855161551e-09,electromagnetic
24.0,10.4941939082,3.024449236057e-09,1734893378.783,1.072131232816e-18,1513.358303876,24.0,10.4941939082,3.024449236057e-09,1734893378.783,24.0,-3.899348127482e-12,-8.858187321528e-14,-2.9103363179170004e-11,6.683833340215001e-11,-7.585195574641e-14,-3.421786657674e-12,2.197175605428e-10,1.823932417095e-10,3.98793000069728e-12,9.594169658132001e-11,3.4976386134204097e-12,4.021108022523e-10,5.055380674477377e-10,Q4,4.021108022523e-10,electromagnetic
25.0,10.56194950597,-5.380757550787e-08,98145562.27706,1.4223714530349999e-18,2007.737097675,25.0,10.56194950597,-5.380757550787e-08,98145562.27706,25.0,-5.14397908223e-13,-3.9431608282779995e-13,1.742615004436e-12,-1.307866796896e-15,1.2758500574629998e-13,-5.434793032070999e-13,-0.0003103336053888,-5.221029644461e-11,9.087139910508e-13,1.743922871232896e-12,6.710643089534e-13,0.00031033365759909647,0.00031033366092279765,Q4,0.00031033365759909647,electromagnetic
26.0,10.61830919196,6.372722586099e-08,83310618.40916,5.0035087332410006e-17,70626.62907818,26.0,10.61830919196,6.372722586099e-08,83310618.40916,26.0,-6.209364451670999e-14,5.49692576232e-15,-1.1175256932879999e-13,6.89766782049e-15,-2.0945515739209998e-14,-6.006149106613e-14,1.986562855365e-05,-4.820583526576e-08,6.759057027902999e-14,1.1865023714929e-13,8.100700680533999e-14,1.991383438891576e-05,1.9913834656163575e-05,Q4,1.991383438891576e-05,electromagnetic
27.0,10.68604520495,-5.274129458696e-10,10130624673.36,4.437066252497e-16,626310.5535053,27.0,10.68604520495,-5.274129458696e-10,10130624673.36,27.0,-1.83850563864e-11,2.2795556120180003e-11,4.8815743987970007e-11,1.375936815082e-12,2.645391700978e-09,-6.032152966321e-09,8.751286434854e-12,-2.4835091117e-12,4.1180612506580004e-11,5.019168080305201e-11,8.677544667299e-09,1.1234795546554e-11,8.780151756155186e-09,Q3,8.677544667299e-09,electromagnetic
28.0,10.76518692908,-1.442077274693e-09,3732527763.245,9.266360931242e-19,1307.985798215,28.0,10.76518692908,-1.442077274693e-09,3732527763.245,28.0,-8.207709092584999e-13,1.174801303527e-12,0.003702456442471,-6.946830387594e-11,-3.652281956661e-13,1.416160876805e-12,-7.555731060462e-15,2.52794639607e-12,1.9955722127855e-12,0.003702456511939304,1.7813890724710999e-12,2.535502127130462e-12,0.0037024565182517677,Q2,0.003702456511939304,electromagnetic
29.0,10.76986161536,2.356571043085e-07,22850704.30395,2.2576419151909998e-18,3186.756467227,29.0,10.76986161536,2.356571043085e-07,22850704.30395,29.0,7.900127414726e-13,2.359746977062e-10,-4.252678737633e-09,2.1741130262519997e-13,-2.769296983988e-08,-0.0003318359543591,-2.038952085423e-13,5.807779414479e-14,2.367647104476726e-10,4.2528961489356254e-09,0.00033186364732893986,2.6197300268709e-13,0.00033186813725177226,Q3,0.00033186364732893986,electromagnetic
30.0,10.77239100396,-6.463171199308e-08,83336729.53856,1.085000857463e-18,1531.524320223,30.0,10.77239100396,-6.463171199308e-08,83336729.53856,30.0,-1.006400610304e-09,0.000150258032084,4.3613016680470006e-11,-5.475191076671e-12,-5.734840231766e-14,-1.3670789454240002e-11,-2.5399081825709998e-14,4.391655601049e-12,0.0001502590384846103,4.908820775714101e-11,1.3728137856557662e-11,4.41705468287471e-12,0.0001502591057180106,Q1,0.0001502590384846103,electromagnetic
31.0,10.79959315776,-7.096065620328e-08,76095640.42662,1.1537502417149999e-18,1628.566966114,31.0,10.79959315776,-7.096065620328e-08,76095640.42662,31.0,1.0719290817490001e-11,3.96060315956e-11,2.156845415026e-11,6.080219103744e-09,-4.3376558312349997e-13,-4.629131476338e-12,3.207167441124e-09,-0.001233890285873,5.032532241309e-11,6.10178755789426e-09,5.0628970594614995e-12,0.0012338934930404412,0.0012338996502162184,Q4,0.0012338934930404412,electromagnetic
32.0,10.80061726084,-2.590643698851e-07,20845431.70801,9.051657077342e-19,1277.679446709,32.0,10.80061726084,-2.590643698851e-07,20845431.70801,32.0,-1.4074683949e-10,-8.608395312912e-11,-1.171202105229e-11,-0.00172418961335,-1.0440105436019999e-13,-1.671998364411e-12,-1.221758161584e-13,1.200212407102e-08,2.2683079261912e-10,0.0017241896250620211,1.7763994187712e-12,1.2002246246836159e-08,0.00172420185591546,Q2,0.0017241896250620211,electromagnetic
33.0,10.8011342194,-6.070144057556e-08,88969340.0765,8.739567820385e-19,1233.626736167,33.0,10.8011342194,-6.070144057556e-08,88969340.0765,33.0,3.476974175551e-11,-2.4609963899940002e-11,2.610672620339e-05,4.17798365583e-07,2.0569359764859998e-14,7.081511844349e-13,-6.229494310117e-14,1.725640026497e-09,5.937970565545e-11,2.6524524568973002e-05,7.287205441997599e-13,1.7257023214401013e-09,2.652631037972064e-05,Q2,2.6524524568973002e-05,electromagnetic
34.0,10.80613061487,1.345285328241e-08,401629691.0411,5.580635595658e-19,787.730173518,34.0,10.80613061487,1.345285328241e-08,401629691.0411,34.0,-1.043343051871e-09,-9.421659726026e-05,8.254791214198e-12,-2.339074758119e-10,3.4674166383789996e-13,-1.219376178351e-12,-6.151519265855e-14,-3.357062726586e-12,9.421764060331187e-05,2.42162267026098e-10,1.5661178421889e-12,3.4185779192445498e-12,9.421788775027467e-05,Q1,9.421764060331187e-05,electromagnetic
35.0,10.80876323758,6.37652493112e-08,84754339.97625,3.4222471340800003e-19,483.0645689982,35.0,10.80876323758,6.37652493112e-08,84754339.97625,35.0,0.0006292384657075,8.857207191053e-10,-1.879597967604e-11,-3.7987201547010005e-11,3.6447506817049996e-13,-1.481215435454e-12,-3.384839472173e-14,1.222018622041e-10,0.0006292393514282191,5.6783181223050006e-11,1.8456905036245e-12,1.2223571059882172e-10,0.0006292395322928014,Q1,0.0006292393514282191,electromagnetic
36.0,10.82350221656,-1.718086186211e-07,31498717.30369,1.801233615275e-18,2542.516966025,36.0,10.82350221656,-1.718086186211e-07,31498717.30369,36.0,6.963406174181e-13,-3.171262393568e-14,-1.3844219204840002e-11,2.759384053539e-13,5.5918993497360004e-11,0.0001219704732444,4.109480384483e-15,1.02933477239e-11,7.280532413537799e-13,1.4120157610193902e-11,0.00012197052916339351,1.0297457204284484e-11,0.00012197055430906157,Q3,0.00012197052916339351,electromagnetic
37.0,10.83205792037,-2.063200289599e-07,26250621.36473,3.777489916994e-19,533.2085811375,37.0,10.83205792037,-2.063200289599e-07,26250621.36473,37.0,8.201396986483e-12,-1.530985139497e-12,7.244278942255e-12,-8.831522953084999e-14,1.331100282437e-12,3.154943478836e-13,-1.794571714028e-09,0.0002441543981546,9.73238212598e-12,7.33259417178585e-12,1.6465946303206e-12,0.00024415619272631406,0.000244156211437885,Q4,0.00024415619272631406,electromagnetic
